,Unnamed: 0,CANT,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO
937,937,1,155.0,78.65,78.65,155.0,78.65,76.35
938,938,3,983.0,227.62,227.62,2949.0,682.85,755.38
939,939,1,535.0,0.0,66.88,535.0,66.88,468.12
940,940,1,125.0,48.2,48.2,125.0,48.2,76.8
941,941,1,155.0,62.95,62.95,155.0,62.95,92.05
942,942,1,1048.97,,,1048.97,,
943,943,2,1056.35,348.7,348.7,2112.7,697.4,707.65
944,944,2,985.0,242.78,242.78,1970.0,485.55,742.22
945,945,1,661.2,0.0,31.14,661.2,31.14,630.06
946,946,20,935.0,185.95,185.95,,,749.05
947,947,6,2177.5,457.71,457.71,,2746.25,1719.79
948,948,3,1991.0,0.0,182.87,5973.0,548.62,1808.13
949,949,10,123.0,4.8,4.8,1230.0,48.02,118.2
950,950,3,705.5,135.18,135.18,2116.5,405.53,570.32
951,951,3,705.5,136.6,136.6,2116.5,409.8,568.9
952,952,7,606.0,210.24,210.24,4242.0,1471.68,395.76
953,953,1,813.0,260.2,260.2,813.0,260.2,552.8
954,954,8,764.8,216.17,216.17,6118.4,1729.33,548.63
955,955,1,265.08,97.49,97.49,265.08,97.49,167.59
956,956,1,597.0,173.0,173.0,597.0,173.0,424.0
957,957,5,1551.2,0.0,333.77,7756.0,1668.85,1217.43
958,958,1,1584.6,0.0,369.86,1584.6,369.86,1214.74
959,959,2,674.82,0.0,88.53,1349.64,177.06,586.29
960,960,2,,,,,,
961,961,3,720.0,0.0,129.95,2160.0,389.85,590.05
962,962,1,,0.0,0.0,9700.0,0.0,
963,963,1,653.0,223.04,223.04,653.0,223.04,429.96
964,964,2,1100.0,0.0,43.93,2200.0,87.87,1056.07
965,965,2,2186.0,0.0,,4372.0,2125.57,1123.22
966,966,10,351.64,0.0,144.47,3516.4,1444.71,207.17
967,967,2,1974.31,0.0,360.69,3948.62,721.38,1613.62
968,968,1,2874.31,0.0,,2874.31,886.73,1987.58
969,969,2,2215.0,0.0,610.78,4430.0,1221.56,1604.22
