,id,bathrooms,bedrooms,beds,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,reviews_per_month
127,2127400,1.5,1.0,1.0,2.0,7.0,4.98,4.94,4.96,4.98,4.96,1.24
128,2178349,1.0,2.0,2.0,2.0,1125.0,4.83,4.77,4.51,4.83,4.8,0.26
129,2228415,2.5,3.0,3.0,3.0,1125.0,4.8,4.8,4.4,5.0,4.6,0.05
130,2238309,1.0,1.0,2.0,3.0,730.0,4.88,4.89,4.92,4.92,4.91,2.12
131,2267075,2.0,1.0,1.0,1.0,365.0,5.0,5.0,5.0,4.83,5.0,0.6
132,2289797,1.0,2.0,2.0,,1125.0,4.56,4.69,4.57,4.89,4.9,2.25
133,1547284,2.0,2.0,3.0,3.0,1125.0,4.94,4.97,4.94,4.99,4.97,0.53
134,1555819,1.0,1.0,1.0,3.0,1125.0,4.88,4.89,4.9,4.97,4.91,2.59
135,1565220,1.0,1.0,1.0,1.0,1125.0,4.96,5.0,5.0,5.0,4.93,0.21
136,1627630,1.0,1.0,2.0,3.0,1125.0,4.92,4.88,4.91,4.99,4.94,2.55
137,1635595,1.0,1.0,1.0,1.0,1125.0,4.85,4.92,4.94,4.9,4.92,1.96
138,1656382,1.0,1.0,1.0,1.0,1125.0,4.85,4.92,4.94,4.9,4.92,1.96
139,1676923,1.0,1.0,1.0,1.0,1125.0,4.9,4.88,4.93,4.87,4.98,2.86
140,1727725,1.0,1.0,1.0,1.0,1125.0,4.97,4.94,4.94,5.0,4.97,0.27
141,2297850,1.0,1.0,1.0,,360.0,4.75,4.74,4.87,4.89,4.95,1.71
142,2302615,1.0,1.0,1.0,3.0,1125.0,5.0,5.0,5.0,5.0,5.0,0.01
143,2307983,1.5,2.0,,2.0,1125.0,4.83,4.85,4.84,4.85,4.93,2.44
144,2335400,1.0,1.0,1.0,2.0,1125.0,4.71,4.83,4.33,4.83,4.79,0.18
145,2345760,1.0,1.0,1.0,3.0,28.0,5.0,5.0,5.0,5.0,5.0,0.19
146,1736063,1.0,1.0,1.0,1.0,1125.0,4.89,4.85,4.97,4.9,4.97,0.48
147,1768385,2.0,2.0,,2.0,1125.0,4.54,4.63,4.63,4.67,4.91,3.09
148,1798108,1.0,2.0,2.0,,365.0,4.9,4.63,4.88,4.88,5.0,0.07
149,1826212,2.0,2.0,3.0,5.0,1125.0,4.82,4.92,4.91,4.94,4.88,0.72
150,1850394,2.0,2.0,2.0,3.6,1125.0,4.82,4.85,4.79,4.87,4.78,2.38
151,1869809,2.0,2.0,2.0,,1125.0,5.0,5.0,5.0,5.0,5.0,0.07
152,1877286,1.0,1.0,2.0,2.0,1125.0,4.71,4.81,4.9,4.93,4.85,0.93
153,1919273,1.0,1.0,1.0,,60.0,4.77,4.9,4.93,4.92,4.93,0.68
154,2373420,1.0,1.0,1.0,2.0,1125.0,4.85,4.7,4.73,4.69,4.73,0.23
155,2401724,1.0,2.0,2.0,1.0,60.0,4.87,4.93,4.88,4.96,4.98,2.82
156,2406485,1.0,1.0,1.0,2.0,1125.0,4.75,4.89,4.91,4.8,4.75,0.34
157,2419999,1.0,1.0,1.0,2.0,1125.0,4.48,4.56,4.76,4.72,4.88,0.19
158,2424204,1.0,1.0,2.0,3.0,90.0,4.75,4.79,4.83,4.96,4.75,0.18
159,2444573,2.0,1.0,1.0,,1125.0,5.0,5.0,4.74,5.0,4.83,0.25
160,2447795,1.0,1.0,1.0,4.0,1125.0,4.73,4.81,4.78,4.95,4.76,0.28
161,1919310,1.0,1.0,1.0,,60.0,4.63,4.74,4.74,4.8,4.85,1.08
162,1919438,1.0,1.0,2.0,4.0,1125.0,4.68,4.91,4.81,4.8,4.92,2.2
163,1920070,1.0,1.0,2.0,1.0,1125.0,5.0,5.0,5.0,5.0,5.0,0.03
164,1925256,1.0,1.0,1.0,1.0,1125.0,4.81,4.73,4.85,4.86,4.88,0.4
165,3479520,1.0,1.0,1.0,4.0,1125.0,4.95,4.95,5.0,5.0,5.0,0.17
166,3490114,1.0,1.0,1.0,1.0,1125.0,4.95,4.95,5.0,5.0,5.0,0.17
167,3506037,2.0,,1.0,1.0,1125.0,5.0,5.0,5.0,5.0,5.0,0.04
168,3536304,1.5,1.0,1.0,1.3,30.0,4.87,5.0,4.87,4.93,5.0,0.17
169,3577110,1.0,1.0,1.0,4.0,120.0,4.8,4.85,4.82,4.92,4.96,1.79
170,3595167,1.0,1.0,1.0,1.0,1125.0,4.71,4.75,4.71,4.86,4.91,3.68
171,2484037,1.0,1.0,2.0,2.0,1125.0,4.64,4.75,4.74,4.92,4.87,1.22
